,x,ds
0,6.621,0
1,6.433,1
2,6.582,2
3,7.224,3
4,6.875,4
5,6.947,5
6,7.328,6
7,6.777,7
8,7.503,8
9,6.916,9
10,7.045,10
11,6.956,11
12,6.976,12
13,7.185,13
14,6.899,14
15,7.396,15
16,7.287,16
17,7.22,17
18,7.651,18
19,7.72,19
20,7.543,20
21,7.961,21
22,7.327,22
23,7.38,23
24,7.501,24
25,7.605,25
26,7.584,26
27,7.401,27
28,7.505,28
29,7.427,29
30,6.993,30
31,7.402,31
32,7.391,32
33,7.088,33
34,6.949,34
35,7.506,35
36,7.396,36
37,7.421,37
38,7.159,38
39,7.379,39
40,7.369,40
41,6.652,41
42,6.769,42
43,6.828,43
44,7.344,44
45,7.447,45
46,7.186,46
47,6.642,47
48,6.788,48
49,6.783,49
50,7.037,50
51,7.112,51
52,7.039,52
53,6.576,53
54,7.002,54
55,6.77,55
56,7.002,56
57,6.806,57
58,7.221,58
59,7.379,59
60,7.027,60
61,7.744,61
62,6.464,62
63,7.376,63
64,7.899,64
65,7.318,65
66,7.174,66
67,7.086,67
68,7.774,68
69,7.104,69
70,7.129,70
71,7.407,71
72,7.701,72
73,7.572,73
74,7.813,74
75,7.422,75
76,7.792,76
77,7.433,77
78,7.796,78
79,7.7,79
80,7.365,80
81,7.814,81
82,7.326,82
83,7.473,83
84,7.181,84
85,7.286,85
86,7.293,86
87,7.514,87
88,7.204,88
89,7.276,89
90,7.509,90
91,6.923,91
92,7.056,92
93,7.24,93
94,7.138,94
95,7.432,95
96,7.354,96
97,7.4,97
98,7.596,98
99,7.358,99
100,6.852,100
101,6.726,101
102,7.131,102
103,6.603,103
104,7.322,104
105,6.779,105
106,7.325,106
107,6.961,107
108,7.188,108
109,7.1,109
110,7.239,110
111,7.194,111
112,6.964,112
113,6.797,113
114,7.561,114
115,7.392,115
116,7.47,116
117,7.657,117
118,7.649,118
119,7.295,119
120,7.364,120
121,7.018,121
122,7.74,122
123,7.392,123
124,7.804,124
125,7.868,125
126,7.578,126
127,8.113,127
128,7.916,128
129,7.336,129
130,8.033,130
131,7.581,131
132,8.187,132
133,7.629,133
134,7.386,134
135,7.889,135
136,7.478,136
137,7.485,137
138,7.387,138
139,7.276,139
140,7.613,140
141,7.704,141
142,7.788,142
143,7.64,143
144,7.552,144
145,7.992,145
146,6.845,146
147,7.43,147
148,8.074,148
149,7.684,149
150,7.411,150
151,7.567,151
152,7.124,152
153,7.124,153
154,7.157,154
155,6.321,155
156,6.953,156
157,7.487,157
158,6.993,158
159,7.372,159
160,7.286,160
161,7.214,161
162,7.521,162
163,7.481,163
164,7.398,164
165,7.187,165
166,7.72,166
167,7.042,167
168,7.892,168
169,6.824,169
170,7.552,170
171,7.938,171
172,8.028,172
173,7.461,173
174,7.77,174
175,7.65,175
176,7.909,176
177,7.93,177
178,7.562,178
179,8.006,179
180,7.523,180
181,7.581,181
182,7.638,182
183,8.187,183
184,7.836,184
185,7.75,185
186,8.061,186
187,6.955,187
188,7.601,188
189,7.763,189
190,7.733,190
191,7.515,191
192,7.562,192
193,8.143,193
