,x,ds,wd,T
0,3.9146471299999996,0,0.0,18.2
1,3.6725496079999997,1,0.0,17.9
2,3.49753903,2,0.0,17.6
3,3.339144792,3,0.0,16.8
4,3.204312604,4,0.0,16.3
5,3.100042586,5,0.0,16.6
6,3.03946753,6,0.0,16.6
7,3.0120886479999998,7,0.0,16.7
8,3.017270254,8,0.0,16.2
9,3.02667176,9,0.0,16.6
10,3.042571012,10,0.0,17.8
11,3.0668460399999997,11,0.0,18.1
12,3.130006372,12,0.0,19.1
13,3.229404258,13,0.0,20.3
14,3.23186119,14,0.0,19.9
15,3.3198177959999997,15,0.0,21.3
16,3.4317954840000002,16,0.0,21.9
17,3.50232867,17,0.0,22.8
18,3.577585806,18,0.0,23.4
19,3.662798382,19,0.0,24.0
20,3.69439488,20,0.0,24.6
21,3.76573708,21,0.0,25.0
22,3.848776214,22,0.0,26.0
23,3.86817164,23,0.0,25.8
24,3.8583213179999998,24,0.0,25.3
25,3.8445095580000004,25,0.0,25.3
26,3.837085448,26,0.0,23.7
27,3.840860404,27,0.0,23.6
28,3.847447728,28,0.0,21.9
29,3.873634212,29,0.0,19.5
30,3.8887488279999998,30,0.0,18.9
31,3.9345596620000003,31,0.0,19.4
32,4.039507452,32,0.0,21.8
33,4.124618318,33,0.0,23.5
34,4.1390789759999995,34,0.0,22.6
35,4.096979848,35,0.0,22.7
36,4.029811491999999,36,0.0,21.6
37,3.993029164,37,0.0,23.2
38,3.949475578,38,0.0,22.0
39,3.981284612,39,0.0,22.3
40,3.965314702,40,0.0,22.0
41,3.8979578900000003,41,0.0,22.1
42,3.772791124,42,0.0,22.2
43,3.6141900220000003,43,0.0,22.1
44,3.572151378,44,0.0,21.6
45,3.5977830359999996,45,0.0,20.4
46,3.948083686,46,0.0,19.7
47,4.053242124,47,0.0,19.3
48,3.753879498,48,1.0,18.7
49,3.491805152,49,1.0,18.2
50,3.314171014,50,1.0,17.4
51,3.184643156,51,1.0,17.1
52,3.0780282860000003,52,1.0,16.4
53,3.016604436,53,1.0,16.2
54,3.000143298,54,1.0,15.9
55,3.0069997440000003,55,1.0,15.5
56,3.0726651940000003,56,1.0,15.4
57,3.1357507559999998,57,1.0,15.6
58,3.2833495200000002,58,1.0,15.5
59,3.439061364,59,1.0,15.4
60,3.6531467940000004,60,1.0,15.5
61,3.845349664,61,1.0,15.8
62,3.84760413,62,1.0,16.0
63,3.97219593,63,1.0,17.0
64,4.0545485480000005,64,1.0,17.4
65,4.0956495,65,1.0,18.8
66,4.1395669260000005,66,1.0,17.4
67,4.191084388,67,1.0,18.2
68,4.197770222,68,1.0,18.8
69,4.206853808,69,1.0,19.4
70,4.21335675,70,1.0,20.1
71,4.236663142,71,1.0,19.6
72,4.2572843659999995,72,1.0,20.2
73,4.272851426,73,1.0,20.4
74,4.282096582,74,1.0,20.8
75,4.319405718,75,1.0,21.3
76,4.354401658,76,1.0,22.6
77,4.406803064,77,1.0,23.0
78,4.471103958,78,1.0,22.6
79,4.497733488,79,1.0,20.7
80,4.5442634260000005,80,1.0,20.5
