TBATS,STFL,TEST,TBATS_UPPER_95%,STFL_UPPER_95%
18601.9282849918,19511.808851339,18524.4583333333,19412.8904998854,19997.0916300991
18875.2543908865,19828.7121041924,18958.1666666667,20076.9345054674,20493.9093365579
19012.0982755218,19744.1154563718,18994.875,20432.852387555,20550.0157855269
19081.5902620012,19679.1438409936,19205.125,20621.8001313551,20604.5968776832
18908.3887709245,19247.6017325158,19154.75,20502.5433478674,20278.8394867235
18561.9941360853,18643.8788218637,18849.7083333333,20179.3415961318,19771.0164746324
16895.5297450028,16587.9925921273,16974.7083333333,18518.5175434226,17803.4872531088
18643.2955000702,19129.7579945794,18635.6666666667,20269.8854544257,20427.6082376584
18828.6271242271,19655.3032622507,19148.2083333333,20456.5459677417,21030.5862280602
18871.210332982,19579.6126078407,19214.2916666667,20501.9511725595,21028.1950938011
18865.66136568,19759.881498292,19104.2083333333,20500.2072992583,21278.229021495
18647.7505322393,19774.1234240689,19083.2083333333,20287.2743279418,21359.1682763688
18269.2109994781,19184.3520034423,18731.2916666667,19916.7608222728,20833.3987481976
16623.2790395828,17419.2558880932,16886.375,18277.2893199142,19129.9116538666
18380.8272882233,19869.2056075405,18586.4166666667,20044.3575326277,21639.3273919269
18611.7857195859,20402.9223819303,19258.9166666667,20282.1814510783,22230.5763738403
18683.885826745,20061.3902946555,19440.0416666667,20362.4890637126,21944.8199048959
18713.1990479098,19878.5925126725,19361.3333333333,20399.0796452579,21816.1928531235
18531.9585761959,18997.4832074681,19128.5416666667,20224.322382981,20987.7804370047
18169.9344649647,17046.7358804442,18435.25,19870.1803479597,19088.3702856419
16562.2428274414,13757.3887575042,15866.166666666699,18268.1546271519,15849.1007422364
18329.3459452526,15526.1570174391,14031.041666666699,20043.2896626549,17666.7753882979
18593.7629819973,16857.4922054135,14182,20313.628730692,19045.9242907759
18682.040205203,17855.6497597508,15089.208333333301,20409.2644641017,20090.8730091891
18734.0581592615,19062.3649131194,17799.4583333333,20468.148387655,21343.4197036527
18580.5866907223,19460.4594054681,18518.25,20321.0401929552,21786.4428404908
18230.3069682735,18537.8477665588,18118.0416666667,19978.5484408565,20907.9082979769
16656.4637113494,16946.1125159,16612.75,18410.4922950612,19359.44525408
18431.1056045323,19768.87244425,18949.5,20193.093570261,22224.7150466488
18724.6832847324,20588.4701838623,19648.875,20492.6588258031,23086.0992336498
18824.8929680328,21058.2259990872,19677.375,20600.124394638,23596.9538011425
18893.284039595,20924.6422552619,19953.1666666667,20675.30276004,23503.8139896591
18759.6221439998,20117.4371529529,20359.1666666667,20547.9369979275,22736.4283362331
18412.8103370719,19646.0868176806,20267.7083333333,20208.7260947239,22304.3010303965
16862.0887825791,17354.9750482359,18274.5833333333,18663.7750220126,20051.8418939052
18634.4802838962,20065.2028912716,20786.9583333333,20443.9296816828,22800.1761572938
18945.2327505752,20813.8480100991,20994.4166666667,20760.6584333028,23586.4040056457
19046.0999372661,20798.2671717503,20994.7083333333,20868.6612287666,23607.9032213175
19118.6347551583,20709.005732536,20964.9166666667,20947.9224532915,23555.2388069016
18992.017910412,20711.1450021853,20904.7083333333,20827.5737824467,23593.5104710664
18636.4767297372,20445.2350955157,20645.4583333333,20479.5090469883,23363.2855883591
17095.0636397136,18956.174365437,18582.5833333333,18943.8905560233,21909.4787285817
18852.7971605702,21031.0445938731,20706.2916666667,20709.2492542277,24019.1869338487
19166.7174095463,21319.072879528,21126.5416666667,21029.1641861389,24341.6516835528
19255.3116299328,20525.3758174582,21139,21124.8114326764,23582.0031433071
19318.6179486992,20501.5171841345,21166.7916666667,21194.8105596956,23591.817912496
19185.6413783811,20661.0268763455,20884.0416666667,21068.0975488055,23784.6380196053
18809.0232225029,20302.8931401686,20330.4583333333,20698.8647291896,23459.4632022586
17263.6125579603,18513.3223057634,18368.8333333333,19159.2915324136,21702.5106883254
18995.2706741652,20554.7827085091,20702.0416666667,20898.4738496959,23776.2591591531
19300.0387685897,21136.6933079256,21290.625,21209.2756782654,24390.1374068214
19365.6214882519,21323.1360058458,21297.5833333333,21281.8610168012,24608.23668729
19409.1331823588,21470.4544294625,21298.9583333333,21332.0581812234,24786.9095354169
19259.7512129752,20957.337576785,21011.7083333333,21188.9587453613,24304.8534396893
18853.5469782371,20479.2553409578,20396.125,20790.0804962022,23857.5463933957
17295.2524418831,18057.5994184053,18505.0833333333,19237.6839795763,21466.3878274397
18994.2100731481,20332.1348030154,20725.75,20944.0966405127,23771.1501272256
19282.8357462104,20563.6540270692,21130.4583333333,21238.8116728985,24032.6328945082
19320.330273131,20991.7446069229,21339.5,21283.2836386977,24490.4304123824
19339.5545263791,21120.7260611418,21629.2083333333,21309.2055421183,24648.8686812621
19170.1311843963,21255.1736079037,21237.5833333333,21146.1005412751,24812.5291327979
18732.4893794428,20724.4999060551,20791.7916666667,20715.7485565524,24310.8303862368
17159.4075239347,18516.2555621146,18896.2916666667,19148.6365073538,22131.3287696259
